"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
15744,0.457142857,1.542857143,0,0.474,0.0395,730.341119,9
10328,0.64516129,1.290322581,0,0.606,0.0606,732.2115387,12
13252,0.59375,1.375,0,0.57,0.057,732.2475068,11
16411,0.485714286,1.2,0,0.578,0.07225,734.241666,15
16412,0.444444444,1.277777778,0,0.542,0.06775,734.2781776,14
16413,0.405405405,1.351351351,0,0.505,0.063125,734.3145828,13
16414,0.368421053,1.421052632,0,0.469,0.058625,734.3510897,12
16232,0.575757576,1.151515152,0,0.624,0.156,738.2004616,15
16425,0.529411765,1.235294118,0,0.588,0.147,738.2367376,14
16426,0.485714286,1.314285714,0,0.551,0.13775,738.2731423,13
16427,0.444444444,1.388888889,0,0.515,0.12875,738.3095686,12
16428,0.405405405,1.459459459,0,0.478,0.1195,738.3460739,11
10533,0.394736842,1.157894737,0,0.559,0.2795,740.267312,17
16434,0.485714286,1.371428571,0,0.538,0.269,740.2884997,12
16435,0.444444444,1.444444444,0,0.502,0.251,740.325036,11
15909,0.405405405,1.513513514,0,0.465,0.2325,740.361856,10
16151,0.625,1.1875,0,0.633,0.045214286,742.1952754,14
16438,0.575757576,1.272727273,0,0.597,0.042642857,742.2316655,13
16439,0.529411765,1.352941176,0,0.561,0.040071429,742.2681281,12
16440,0.394736842,1.210526316,0,0.546,0.039,742.2831965,16
16441,0.485714286,1.428571429,0,0.524,0.037428571,742.3044586,11
16079,0.444444444,1.5,0,0.488,0.034857143,742.3409498,10
13254,0.325,1.35,0,0.473,0.033785714,742.3560014,14
16153,0.625,1.25,0,0.62,0.051666667,744.2107978,13
16444,0.575757576,1.333333333,0,0.584,0.048666667,744.2471955,12
16445,0.432432432,1.189189189,0,0.569,0.047416667,744.2623097,16
16447,0.394736842,1.263157895,0,0.532,0.044333333,744.2988207,15
16080,0.485714286,1.485714286,0,0.511,0.042583333,744.3201116,10
12429,0.444444444,1.555555556,0,0.474,0.0395,744.3566835,9
9951,0.625,1.3125,0,0.606,0.0606,746.2269289,12
16018,0.575757576,1.393939394,0,0.57,0.057,746.26303,11
16450,0.432432432,1.243243243,0,0.555,0.0555,746.2781065,15
16451,0.394736842,1.315789474,0,0.519,0.0519,746.3144076,14
3970,0.558823529,1.058823529,0,0.651,0.081375,748.1845373,17
16457,0.432432432,1.297297297,0,0.542,0.06775,748.293666,14
16458,0.394736842,1.368421053,0,0.505,0.063125,748.3301255,13
16461,0.514285714,1.2,0,0.601,0.100166667,750.2367402,15
16462,0.472222222,1.277777778,0,0.565,0.094166667,750.2730792,14
16463,0.432432432,1.351351351,0,0.528,0.088,750.3094418,13
16470,0.432432432,1.405405405,0,0.515,0.12875,752.3248481,12
16473,0.558823529,1.235294118,0,0.61,0.305,754.2317423,14
16474,0.514285714,1.314285714,0,0.574,0.287,754.2681213,13
16475,0.472222222,1.388888889,0,0.538,0.269,754.3044144,12
4327,0.35,1.25,0,0.523,0.2615,754.3195215,16
16476,0.432432432,1.459459459,0,0.501,0.2505,754.3408523,11
8583,0.394736842,1.526315789,0,0.465,0.2325,754.3773835,10
2284,0.733333333,1.466666667,0,0.612,0.043714286,756.2326335,9
13197,0.432432432,1.513513514,0,0.488,0.034857143,756.3561468,10
16483,0.606060606,1.272727273,0,0.62,0.051666667,758.2267865,13
16485,0.558823529,1.352941176,0,0.584,0.048666667,758.2630971,12
16246,0.421052632,1.210526316,0,0.569,0.047416667,758.2780366,16
16247,0.514285714,1.428571429,0,0.547,0.045583333,758.2994032,11
16486,0.384615385,1.282051282,0,0.532,0.044333333,758.3146081,15
15790,0.472222222,1.5,0,0.511,0.042583333,758.3360951,10
16487,0.35,1.35,0,0.496,0.041333333,758.3508297,14
12862,0.606060606,1.333333333,0,0.607,0.0607,760.2423117,12
8588,0.514285714,1.485714286,0,0.534,0.0534,760.314846,10
16493,0.5,1.222222222,0,0.601,0.100166667,764.2525255,15
16256,0.459459459,1.297297297,0,0.565,0.094166667,764.2887749,14
3140,0.558823529,1.529411765,0,0.543,0.0905,764.310044,9
2292,0.35,1.5,0,0.456,0.076,764.3976835,11
3920,0.285714286,1.238095238,0,0.308,0.022,406.1450598,9
4389,0.3125,2,0,0.178,0.012714286,336.1970568,1
5225,0.541666667,1.083333333,0,0.509,0.084833333,554.1095752,12
5352,0.458333333,1.083333333,0,0.463,0.0463,522.1197229,12
5731,0.323529412,1.470588235,0,0.436,0.072666667,666.3076072,10
5964,0.421052632,1.368421053,0,0.327,0.0545,414.1350407,7
6031,0.357142857,2,0,0.178,0.012714286,308.1656971,1
6208,0.45,1.3,0,0.364,0.060666667,442.1299069,8
6341,0.470588235,1.058823529,0,0.355,0.0355,382.0720649,9
8924,0.625,1.75,0,0.192,0.096,222.056182,2
9222,0.5,0.714285714,0,0.345,0.024642857,322.014882,10
9816,0.363636364,0.909090909,0,0.236,0.016857143,238.0299474,7
10736,0.366666667,1.333333333,0,0.45,0.05625,608.2293146,11
10800,0.294117647,1.529411765,0,0.4,0.066666667,652.3283235,9
11035,0.2,2.133333333,0,0.119,0.0595,292.2072331,0
11147,0.3,0.8,0,0.213,0.1065,208.0193702,7
11964,0.555555556,1,0,0.414,0.05175,426.0621412,10
12354,0.8,0.8,0,0.328,0.054666667,287.993896,7
12731,0.37037037,1.555555556,0,0.373,0.1865,558.2502593,7
13267,0.8,1.2,0,0.301,0.1505,292.0252839,5
13452,0.65,1.1,0,0.482,0.241,502.0781938,10
13478,0.333333333,2,0,0.155,0.0775,264.139526,1
13654,0.6,0.933333333,0,0.377,0.047125,370.0357954,9
16179,0.727272727,1.090909091,0,0.314,0.0785,304.0252443,6
16580,0.7,1,0,0.291,0.0485,274.014746,6
17498,0.428571429,1,0,0.295,0.024583333,310.0511386,8
17698,0.5,1,0,0.282,0.0282,284.0354967,7
17958,0.5,1.4,0,0.219,0.0365,246.0561893,4
18051,0.571428571,1,0,0.341,0.042625,342.0408866,8
18775,0.619047619,1.238095238,0,0.469,0.0335,518.1095388,9
19135,0.666666667,1.2,0,0.374,0.187,390.0620127,7
21076,0.526315789,1.263157895,0,0.387,0.09675,444.1090392,8
7227,0.375,2.25,0,0.119,0.0595,194.0976535,0
12183,0.5,1,0,0.209,0.0209,200.0142685,5
3209,0.5,2.25,0,0.142,0.010142857,210.092571,0
7488,0.444444444,0.888888889,0,0.223,0.018583333,212.014231,6
12475,0.444444444,1.111111111,0,0.209,0.0209,214.029956,5
12764,0.444444444,1.333333333,0,0.196,0.0245,216.0456803,4
9458,0.625,1.25,0,0.219,0.0365,218.0248727,4
12484,0.444444444,1.555555556,0,0.182,0.030333333,218.061214,3
12646,0.625,1.5,0,0.205,0.05125,220.040551,3
12230,0.444444444,1.777777778,0,0.169,0.04225,220.076841,2
15471,0.444444444,2,0,0.155,0.0775,222.092632,1
15504,0.625,2,0,0.178,0.012714286,224.0718243,1
15505,0.444444444,2.222222222,0,0.142,0.010142857,224.108236,0
12954,0.555555556,0.888888889,0,0.245,0.0245,228.0092249,6
13313,0.555555556,1.111111111,0,0.232,0.029,230.0248367,5
16523,0.555555556,1.333333333,0,0.219,0.0365,232.0405331,4
12955,0.4,1.6,0,0.182,0.030333333,232.0768771,3
12514,0.75,1.25,0,0.241,0.06025,234.019874,4
13438,0.555555556,1.555555556,0,0.205,0.05125,234.0561893,3
15911,0.4,1.8,0,0.169,0.04225,234.092511,2
10193,0.75,1.5,0,0.228,0.114,236.035432,3
16088,0.555555556,1.777777778,0,0.192,0.096,236.0718136,2
9817,0.75,1.75,0,0.215,0.015357143,238.0511803,2
15794,0.555555556,2,0,0.178,0.012714286,238.0875127,1
1299,0.4,2.2,0,0.142,0.010142857,238.123941,0
12956,0.5,0.8,0,0.259,0.021583333,240.0091982,7
21318,0.75,2,0,0.201,0.01675,240.0669071,1
17134,0.5,1,0,0.245,0.0245,242.0248621,6
13400,0.666666667,0.888888889,0,0.268,0.0335,244.0041654,6
15912,0.666666667,1.111111111,0,0.255,0.0425,246.019751,5
13210,0.363636364,1.636363636,0,0.182,0.030333333,246.0925498,3
3837,0.153846154,2,0,0.109,0.018166667,246.1653735,1
1472,0.875,1,0,0.278,0.0695,247.9990335,5
16166,0.666666667,1.333333333,0,0.241,0.06025,248.0354716,4
17170,0.5,1.6,0,0.205,0.05125,248.0717934,3
15967,0.363636364,1.818181818,0,0.169,0.04225,248.1081867,2
3317,0.333333333,0.833333333,0,0.249,0.1245,250.0299493,8
16549,0.666666667,1.555555556,0,0.228,0.114,250.0511246,3
16671,0.5,1.8,0,0.192,0.096,250.0874693,2
10783,0.25,2.166666667,0,0.119,0.0595,250.1602331,0
8150,0.454545455,0.727272727,0,0.272,0.019428571,252.009241,8
15797,0.666666667,1.777777778,0,0.215,0.015357143,252.0667343,2
17452,0.5,2,0,0.178,0.012714286,252.1031313,1
16748,0.454545455,0.909090909,0,0.259,0.021583333,254.0248805,7
17358,0.666666667,2,0,0.201,0.01675,254.0825243,1
16621,0.6,0.8,0,0.282,0.0282,256.0041704,7
16763,0.6,1,0,0.268,0.0335,258.0197966,6
15968,0.454545455,1.272727273,0,0.232,0.029,258.056182,5
17470,0.6,1.2,0,0.255,0.0425,260.0354807,5
17453,0.454545455,1.454545455,0,0.219,0.0365,260.0718535,4
12316,0.333333333,1.666666667,0,0.182,0.030333333,260.1082435,3
12675,0.777777778,1.111111111,0,0.278,0.0695,262.0146993,5
17407,0.6,1.4,0,0.242,0.0605,262.0510778,4
17221,0.454545455,1.636363636,0,0.205,0.05125,262.0874507,3
1722,0.416666667,0.666666667,0,0.286,0.143,264.009146,9
13211,0.777777778,1.333333333,0,0.264,0.132,264.0303745,4
17149,0.6,1.6,0,0.228,0.114,264.0667667,3
16169,0.454545455,1.818181818,0,0.192,0.096,264.1031404,2
